Seq,w1mpro,w2mpro,mjd
204,13.398,12.726,58063.80576
204,13.434,12.903,58066.0315
204,13.488,12.813,58066.16241
204,13.472,12.842,58063.54383
204,13.462,12.794,58064.32938
204,13.452,12.586,58266.24365
204,13.551,12.784,58266.37456
204,13.391,12.728,58423.88343
204,13.409,12.782,57706.81339
204,13.41,12.756,57704.97934
204,13.42,12.853,57705.2414
204,13.513,12.81,57703.14528
204,13.316,12.787,57703.93134
204,13.478,12.692,57706.15836
204,13.387,12.813,57706.28939
204,13.459,12.797,57898.2347
204,13.42,12.807,57899.54412
204,13.582,12.726,57900.5916
204,13.48,12.831,57902.55579
204,13.356,12.807,57897.84186
204,13.553,12.818,57899.02025
204,13.493,12.833,58063.93667
204,13.491,12.69,58062.75828
204,13.535,12.654,58067.4717
204,13.44,12.767,58068.78098
204,13.404,12.753,58068.91189
204,13.459,12.715,58067.34079
204,13.373,12.759,58067.07886
204,13.488,12.892,57701.96613
204,13.412,12.658,57702.09716
204,13.428,12.802,57704.8483
204,13.452,12.622,57704.71727
204,13.398,12.686,57702.62116
204,13.44,12.799,57702.75219
204,13.443,12.728,57708.38551
204,13.478,12.783,57708.51654
204,13.485,12.889,57900.06786
204,13.576,12.756,57899.41309
204,13.408,12.766,57901.90101
204,13.387,12.699,57902.03205
204,13.426,12.81,57898.49651
204,13.453,12.847,57899.41321
204,13.371,12.739,58064.98402
204,13.492,12.775,58062.49647
204,13.442,12.628,58063.41293
204,13.466,12.777,58068.38815
204,13.425,12.812,58067.99582
204,13.411,12.751,58069.1737
204,13.464,12.695,57703.66928
204,13.497,12.882,57700.52504
204,13.409,12.791,57706.68248
204,13.379,12.743,57707.86151
204,13.504,12.761,57703.40722
204,13.469,12.746,57699.47705
204,13.409,12.686,57707.73048
204,13.444,12.734,57708.25447
204,13.397,12.672,57897.71083
204,13.394,12.755,57898.75844
204,13.458,12.792,57900.72263
204,13.589,12.796,57900.85353
204,13.577,12.806,57897.318
204,13.433,13.104,57897.57993
204,13.663,12.908,57921.41134
204,13.361,12.658,58063.02009
204,13.595,12.776,58064.59131
204,13.544,12.795,58062.88918
204,13.482,12.716,58066.81705
204,13.475,12.702,58067.20976
204,13.349,12.681,57702.22819
204,13.458,12.74,57702.88322
204,13.368,12.711,57707.99254
204,13.522,12.681,57704.58637
204,13.491,12.691,57532.35474
204,13.321,12.832,57533.27209
204,13.325,12.767,57706.94442
204,13.428,12.691,57707.07545
204,13.404,12.707,57896.92529
204,13.499,12.776,57897.05619
204,13.427,12.72,57897.71096
204,13.587,12.689,57895.87768
204,13.46,12.657,57896.40142
204,13.511,12.678,57897.31812
204,13.479,12.79,57899.28218
204,13.296,12.694,57921.67315
204,13.527,12.745,58065.37686
204,13.298,12.706,58063.02021
204,13.584,12.891,58065.9006
204,13.501,12.727,58066.55512
204,13.471,12.835,58265.72017
204,13.515,12.785,58429.64178
204,13.264,12.807,58429.511
204,13.524,12.759,58425.32298
204,13.402,12.808,58260.8784
204,13.521,12.751,58261.27098
204,13.419,12.678,58261.40188
204,13.371,12.826,58261.79396
204,13.435,12.828,58428.98752
204,13.488,12.717,58424.9304
204,13.552,12.784,58428.33313
204,13.398,12.717,58796.39095
204,13.509,12.7,58624.93748
204,13.37,12.686,58624.6758
204,13.351,12.789,58632.39515
204,13.404,12.717,58633.31083
204,13.405,12.797,58626.6382
204,13.404,12.78,58627.16156
204,13.414,13.035,58789.45753
204,13.48,12.731,58787.36422
204,13.515,12.846,58262.31744
204,13.443,12.766,58262.97183
204,13.414,12.77,58428.85661
204,13.436,12.668,58428.5948
204,13.544,12.855,58261.53266
204,13.473,12.679,58263.23364
204,13.564,12.746,58624.28335
204,13.426,12.82,58624.80658
204,13.581,12.659,58631.87179
204,13.456,12.681,58632.00257
204,13.383,12.77,58630.30184
204,13.47,12.75,58630.43274
204,13.587,12.846,58790.6349
204,13.412,12.572,58787.49513
204,13.512,12.76,58625.98407
204,13.325,12.732,58626.89988
204,13.404,12.742,58791.15826
204,13.492,12.779,58791.28916
204,13.537,12.825,58795.9985
204,13.586,12.575,58795.34436
204,13.505,12.83,58794.55933
204,13.47,12.678,58260.61659
204,13.491,12.834,58261.92486
204,13.351,12.782,58427.28615
204,13.449,12.699,58427.41693
204,13.431,12.838,58261.66356
204,13.448,12.719,58260.22401
204,13.409,12.731,58623.89077
204,13.417,12.756,58624.15245
204,13.38,12.802,58630.56352
204,13.426,12.742,58630.95598
204,13.536,12.891,58626.24575
204,13.409,12.711,58628.33893
204,13.471,12.823,58791.41994
204,13.477,12.744,58788.14914
204,13.473,12.912,58631.21765
204,13.452,12.732,58633.70342
204,13.453,12.784,58790.89658
204,13.595,12.783,58788.01836
204,13.493,12.75,58794.42855
204,13.439,12.742,58795.60604
204,13.374,12.811,58423.49072
204,13.429,12.758,58425.06131
204,13.465,12.8,58426.23918
204,13.636,12.724,58263.75712
204,13.488,12.757,58259.8313
204,13.391,12.658,58426.63176
204,13.461,12.779,58426.76254
204,13.494,12.823,58260.74749
204,13.402,12.578,58264.28061
204,13.57,12.693,58624.02167
204,13.377,12.757,58624.93736
204,13.461,12.832,58631.74101
204,13.409,12.774,58633.83419
204,13.247,12.753,58630.04016
204,13.505,12.612,58626.24563
204,13.513,12.805,58789.32663
204,13.432,12.775,58789.71908
204,13.468,12.732,58789.71921
204,13.529,12.741,58631.61011
204,13.568,12.725,58789.19585
204,13.557,12.893,58265.85107
204,13.451,12.809,58266.24378
204,13.459,12.827,58423.35994
204,13.471,12.756,58423.09814
204,13.55,12.718,58425.71557
204,13.454,12.782,58429.11829
204,13.564,12.939,58261.00917
204,13.514,12.927,58262.57925
204,13.47,12.79,58425.19208
204,13.521,12.851,58425.84647
204,13.451,13.043,58264.0188
204,13.593,12.766,58259.70052
204,13.417,12.786,58624.28322
204,13.46,12.485,58625.06826
204,13.473,12.716,58633.44174
204,13.454,12.925,58630.8252
204,13.449,12.632,58626.37653
204,13.454,12.872,58628.07725
204,13.499,12.717,58789.98076
204,13.584,12.507,58788.67249
204,13.572,12.829,58790.7658
204,13.439,12.635,58065.50776
204,13.436,12.706,58066.29331
204,13.515,12.725,58264.8041
204,13.477,12.828,58265.58939
204,13.608,12.807,58424.27601
204,13.413,12.588,58423.22904
204,13.503,12.837,58428.07132
204,13.372,12.662,58428.20222
204,13.531,12.827,58262.05576
204,13.383,12.851,58259.9622
204,13.518,12.837,58428.72571
204,13.532,12.911,58429.24919
204,13.493,12.684,58427.67874
204,13.384,12.803,58263.88803
204,13.42,12.829,58625.32994
204,13.455,12.73,58624.41413
204,13.392,12.843,58632.7876
204,13.382,12.832,58633.04928
204,13.493,12.773,58628.86229
204,13.556,12.653,58625.59162
204,13.397,12.814,58067.73401
204,13.518,12.839,58068.51905
204,13.538,12.754,58265.32758
204,13.543,12.835,58265.98197
204,13.397,12.755,58423.62162
204,13.485,12.812,58423.75253
204,13.431,12.734,58427.02435
204,13.437,12.809,58427.94042
204,13.519,12.77,58263.8879
204,13.477,12.844,58260.35478
204,13.555,13.016,58425.45389
204,13.346,12.708,58425.97737
204,13.429,12.707,58428.46403
204,13.384,12.787,58427.54783
204,13.404,12.706,58796.65263
204,13.596,12.805,58796.78354
204,13.606,12.861,58630.6943
204,13.452,12.907,58632.6567
204,13.464,12.738,58632.26424
204,13.237,12.904,58628.60061
204,13.522,12.907,58065.76957
204,13.475,12.73,58066.94796
204,13.401,12.806,58264.41151
204,13.399,12.729,58264.935
204,13.463,12.828,58424.40692
204,13.448,12.699,58424.53782
204,13.413,12.764,58425.58479
204,13.533,12.706,58426.50086
204,13.448,12.788,58262.84093
204,13.531,12.803,58263.62622
204,13.461,12.786,58262.71015
204,13.412,12.746,58429.3801
204,13.474,12.759,58426.36996
204,13.614,12.883,58424.7995
204,13.411,12.719,58796.91431
204,13.507,12.636,58796.52186
204,13.515,13.056,58631.34843
204,13.539,12.738,58632.91838
204,13.379,12.827,58633.57251
204,13.453,12.772,58633.96497
204,13.487,12.811,58627.03066
204,13.43,12.716,58627.42312
204,13.589,12.758,58787.6259
204,13.496,12.806,58788.28004
204,13.412,12.8,58796.26018
204,13.495,12.87,58791.55071
204,13.477,12.62,58795.73682
204,13.413,12.844,58796.12927
204,13.557,12.734,58795.08268
204,13.534,12.814,58791.68162
204,13.503,12.76,58793.12079
204,13.463,12.774,58790.63503
204,13.505,12.77,58792.46653
204,13.429,12.866,58792.98989
204,13.535,12.777,58794.95191
204,13.392,12.926,58791.55084
204,13.586,12.845,58795.21346
204,13.468,12.791,58794.69023
204,13.485,12.709,58791.02748
204,13.413,12.945,58788.8034
204,13.548,12.701,58788.93417
204,13.296,12.798,58793.90519
204,13.451,12.734,58792.33575
